MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02003466,55.78671076,50.16,61.79,17.18402943,11.13,26.42,6.765472572,3.07,14.54,13.453106,6.37,26.27
E02003467,57.98857826,52.4,63.88,19.38366538,12.67,29.38,7.998260914,3.66,16.93,12.2526336,5.76,24.25
E02003468,52.14177241,46.5,58.27,15.79713437,10.17,24.51,5.993440983,2.71,13.01,10.7439777,5,21.62
E02003469,50.59387172,44.96,56.75,14.90843849,9.56,23.26,5.516515317,2.49,12.04,10.4748192,4.87,21.15
E02003470,63.43243785,58.05,68.97,22.66544095,15.03,33.65,9.882599164,4.57,20.46,14.1317873,6.71,27.39
E02003471,57.4679269,51.87,63.39,18.96957227,12.38,28.83,7.783626852,3.56,16.52,12.5549286,5.91,24.76
E02003472,63.37167158,57.98,68.91,21.48966792,14.18,32.14,9.056291775,4.17,18.93,16.3309141,7.86,30.91
E02003473,51.66706457,46.02,57.8,15.04585043,9.66,23.46,5.635393004,2.54,12.28,11.3591922,5.31,22.7
E02003474,55.54923248,49.92,61.56,17.40107011,11.28,26.71,6.963982554,3.17,14.93,11.8688268,5.56,23.59
E02003475,56.79490529,51.19,62.75,17.1787037,11.13,26.41,6.838671345,3.11,14.69,13.4707451,6.37,26.3
E02003476,62.24604875,56.81,67.87,21.47180905,14.17,32.12,9.20407807,4.24,19.21,13.7662095,6.53,26.79
E02003477,54.49043182,48.85,60.54,16.38432003,10.58,25.32,6.377894401,2.89,13.78,12.5930694,5.93,24.82
E02003478,53.08113278,47.44,59.18,15.96467819,10.29,24.74,6.172281444,2.8,13.37,10.9608787,5.11,22.01
E02003479,60.93473323,55.44,66.65,20.29619408,13.32,30.59,8.577588046,3.94,18.03,13.637743,6.46,26.58
E02003480,56.28706288,50.67,62.26,17.738581,11.52,27.17,7.172890211,3.27,15.34,12.338571,5.8,24.39
E02003481,63.89332049,58.53,69.4,22.97085498,15.26,34.04,10.03295406,4.65,20.73,13.2542669,6.26,25.94
E02003482,50.07516249,44.45,56.24,14.77147179,9.47,23.07,5.476339082,2.47,11.96,9.5779423,4.43,19.54
E02003483,55.52655128,49.9,61.54,16.76382727,10.84,25.84,6.665978217,3.03,14.35,12.7374416,6,25.07
E02003484,54.82857242,49.19,60.87,17.2150984,11.15,26.46,6.857264708,3.12,14.72,11.6418142,5.45,23.19
E02003485,54.08010597,48.44,60.15,17.36559694,11.26,26.67,6.91636307,3.15,14.84,11.298348,5.28,22.6
E02003486,53.51584345,47.87,59.6,15.66243955,10.08,24.32,6.036709247,2.73,13.09,12.1941886,5.73,24.15
E02003487,52.71165007,47.07,58.82,16.80603194,10.87,25.9,6.607419766,3,14.23,10.4610441,4.86,21.12
E02003488,53.34093845,47.7,59.43,16.64721723,10.76,25.68,6.473159687,2.94,13.96,11.4520267,5.35,22.87
E02003489,51.25377423,45.61,57.4,15.54132294,10,24.15,5.861221846,2.65,12.74,10.2735743,4.77,20.79
E02003490,62.26284381,56.82,67.89,21.71850279,14.35,32.44,9.334960454,4.31,19.45,13.5189373,6.4,26.38
E02003491,52.47459635,46.83,58.59,16.1496905,10.42,25,6.22171841,2.82,13.46,11.3229376,5.29,22.64
E02003492,71.52526444,66.71,76.3,27.78921602,18.85,39.97,12.95157653,6.11,25.87,24.0891909,12.19,42.11
E02003493,50.09796371,44.47,56.26,15.04043073,9.65,23.45,5.574164312,2.52,12.16,10.0913763,4.68,20.46
E02003494,51.24153611,45.6,57.39,15.61005614,10.04,24.25,5.928153664,2.68,12.88,10.6501613,4.95,21.46
E02003495,54.07704409,48.44,60.14,17.12975393,11.09,26.34,6.777883625,3.08,14.57,11.8948532,5.58,23.63
E02003496,55.15841301,49.53,61.18,18.18099737,11.83,27.77,7.386509583,3.37,15.76,11.1731944,5.21,22.38
E02003497,49.09874446,43.48,55.28,14.24670222,9.11,22.33,5.158560013,2.32,11.31,9.8385584,4.55,20.01
E02003498,65.69467832,60.44,71.05,24.42341666,16.32,35.86,10.86229422,5.06,22.23,17.2616835,8.36,32.35
E02003499,65.74855906,60.49,71.1,24.56377817,16.43,36.04,11.05167268,5.15,22.56,17.1420971,8.3,32.17
E02003500,54.77931254,49.14,60.82,16.97003,10.98,26.13,6.726708766,3.06,14.47,13.789983,6.54,26.83
E02003501,53.12106475,47.48,59.22,15.79414787,10.17,24.5,6.006206515,2.72,13.03,11.8930141,5.57,23.63
E02003502,55.39611752,49.77,61.41,17.80299517,11.56,27.26,7.122827636,3.24,15.24,12.1714242,5.71,24.11
E02003503,54.99243846,49.36,61.02,17.8732905,11.61,27.36,7.203482129,3.28,15.4,11.672763,5.46,23.25
E02003504,57.26403419,51.66,63.19,18.21860914,11.85,27.82,7.332602937,3.34,15.65,14.1421781,6.72,27.41
E02003505,64.46634772,59.14,69.92,22.07410443,14.6,32.89,9.438886669,4.36,19.64,20.6129378,10.2,37.31
E02003506,54.65975915,49.02,60.7,16.5167763,10.67,25.5,6.543986476,2.97,14.1,11.8426868,5.55,23.54
E02003507,52.9291361,47.28,59.03,16.88751108,10.93,26.01,6.648090723,3.02,14.31,10.6686214,4.96,21.49
E02003508,61.79295787,56.33,67.45,20.71008481,13.62,31.13,8.71500859,4.01,18.29,19.1622805,9.39,35.2
E02003509,58.79425079,53.23,64.64,19.00600811,12.41,28.88,7.767963844,3.55,16.49,13.7763386,6.53,26.8
E02003510,55.42479011,49.79,61.44,17.04105127,11.03,26.22,6.683558484,3.04,14.38,12.5798501,5.92,24.8
E02003511,53.39912174,47.75,59.49,16.30915563,10.53,25.22,6.329842512,2.87,13.68,11.3500538,5.3,22.69
E02003512,62.97863484,57.57,68.55,21.49620096,14.18,32.15,9.165404938,4.22,19.13,18.8236449,9.21,34.7
E02003513,53.77982728,48.14,59.85,17.15782132,11.11,26.38,6.79556911,3.09,14.6,10.4242273,4.84,21.06
E02003514,60.68072063,55.18,66.42,19.66013925,12.87,29.75,8.00366459,3.66,16.95,16.4867704,7.95,31.15
